"Year","State","Turnout"
1976,"Minnesota",71.5
1976,"Utah",68.4
1976,"North Dakota",67.2
1976,"Wisconsin",66.5
1976,"South Dakota",64.1
1976,"Maine",63.6
1976,"Montana",63.3
1976,"Iowa",63.1
1976,"Conneticut",62.7
1976,"Massachusetts",61.6
1976,"Oregon",61.3
1976,"Idaho",60.6
1976,"Indiana",60.1
1976,"Washington",59.8
1976,"Rhode Island",59.6
1976,"Illinois",59.4
1976,"Colorado",58.8
1976,"Kansas",58.8
1976,"Michigan",58.8
1976,"Wyoming",58.5
1976,"New Jersey",57.7
1976,"Missouri",57.3
1976,"New Hampshire",57.2
1976,"Delaware",57.2
1976,"West Virginia",57.1
1976,"Nebraska",56.2
1976,"Vermont",55.7
1976,"Ohio",55.1
1976,"Oklahoma",54.8
1976,"Pennsylvania",54.1
1976,"New Mexico",53.4
1976,"Arkansas",51.1
1976,"New York",50.6
1976,"California",50.4
1976,"Maryland",49.3
1976,"Florida",49.1
1976,"Louisiansa",48.7
1976,"Tennessee",48.6
1976,"Alaska",48
1976,"Mississippi",48
1976,"Kentucky",47.9
1976,"Virginia",46.9
1976,"Hawaii",46.6
1976,"Texas",46.3
1976,"Alabama",46.3
1976,"Arizona",46.1
1976,"Nevada",44.1
1976,"North Carolina",42.9
1976,"Georgia",42
1976,"South Carolina",40.2
1976,"District of Columbia",32.2
